2017 	Juin 	(p) 59 900
2017 	Mai 	(p) 62 100
2017 	Avril 	(p) 57 200
2017 	Mars 	(p) 58 700
2017 	Février 	(p) 55 000
2017 	Janvier 	(p) 60 500
2016 	Décembre 	(p) 61 300
2016 	Novembre 	(p) 60 600
2016 	Octobre 	(p) 64 500
2016 	Septembre 	(p) 63 600
2016 	Août 	(p) 65 100
2016 	Juillet 	(p) 67 300
2016 	Juin 	(p) 62 800
2016 	Mai 	(p) 62 400
2016 	Avril 	(p) 57 300
2016 	Mars 	(p) 59 700
2016 	Février 	(p) 57 900
2016 	Janvier 	(p) 62 600
2015 	Décembre 	63 637
2015 	Novembre 	61 899
2015 	Octobre 	65 888
2015 	Septembre 	65 449
2015 	Août 	65 784
2015 	Juillet 	66 701
2015 	Juin 	63 984
2015 	Mai 	64 144
2015 	Avril 	59 699
2015 	Mars 	61 115
2015 	Février 	57 525
2015 	Janvier 	64 596
2014 	Décembre 	65 573
2014 	Novembre 	63 078
2014 	Octobre 	67 637
2014 	Septembre 	67 426
2014 	Août 	66 837
2014 	Juillet 	68 465
2014 	Juin 	65 018
2014 	Mai 	64 527
2014 	Avril 	60 665
2014 	Mars 	64 557
2014 	Février 	60 373
2014 	Janvier 	67 011
2013 	Décembre 	67 052
2013 	Novembre 	64 462
2013 	Octobre 	67 931
2013 	Septembre 	66 818
2013 	Août 	68 466
2013 	Juillet 	70 099
2013 	Juin 	63 680
2013 	Mai 	65 152
2013 	Avril 	61 106
2013 	Mars 	62 652
2013 	Février 	58 533
2013 	Janvier 	65 670
2012 	Décembre 	65 869
2012 	Novembre 	65 122
2012 	Octobre 	69 892
2012 	Septembre 	66 919
2012 	Août 	68 642
2012 	Juillet 	68 774
2012 	Juin 	63 920
2012 	Mai 	66 341
2012 	Avril 	63 184
2012 	Mars 	65 079
2012 	Février 	61 634
2012 	Janvier 	64 914
2011 	Décembre 	66 124
2011 	Novembre 	64 559
2011 	Octobre 	67 464
2011 	Septembre 	67 003
2011 	Août 	69 486
2011 	Juillet 	70 231
2011 	Juin 	66 950
2011 	Mai 	67 624
2011 	Avril 	62 244
2011 	Mars 	64 702
2011 	Février 	60 316
2011 	Janvier 	66 293
2010 	Décembre 	68 258
2010 	Novembre 	66 874
2010 	Octobre 	70 298
2010 	Septembre 	67 959
2010 	Août 	68 783
2010 	Juillet 	69 761
2010 	Juin 	65 535
2010 	Mai 	66 774
2010 	Avril 	64 024
2010 	Mars 	66 066
2010 	Février 	61 107
2010 	Janvier 	66 785
2009 	Décembre 	68 307
2009 	Novembre 	65 117
2009 	Octobre 	67 903
2009 	Septembre 	67 988
2009 	Août 	68 311
2009 	Juillet 	70 900
2009 	Juin 	65 184
2009 	Mai 	66 099
2009 	Avril 	63 560
2009 	Mars 	64 725
2009 	Février 	58 890
2009 	Janvier 	66 436
2008 	Décembre 	66 250
2008 	Novembre 	63 865
2008 	Octobre 	67 489
2008 	Septembre 	67 820
2008 	Août 	67 926
2008 	Juillet 	70 282
2008 	Juin 	65 352
2008 	Mai 	68 582
2008 	Avril 	65 943
2008 	Mars 	64 405
2008 	Février 	61 219
2008 	Janvier 	66 911
2007 	Décembre 	66 724
2007 	Novembre 	64 811
2007 	Octobre 	68 727
2007 	Septembre 	66 488
2007 	Août 	68 249
2007 	Juillet 	68 411
2007 	Juin 	64 156
2007 	Mai 	66 638
2007 	Avril 	60 994
2007 	Mars 	64 561
2007 	Février 	59 939
2007 	Janvier 	66 287
2006 	Décembre 	66 387
2006 	Novembre 	65 741
2006 	Octobre 	70 117
2006 	Septembre 	69 029
2006 	Août 	68 913
2006 	Juillet 	69 705
2006 	Juin 	66 224
2006 	Mai 	68 860
2006 	Avril 	61 797
2006 	Mars 	65 394
2006 	Février 	59 915
2006 	Janvier 	64 814
2005 	Décembre 	65 648
2005 	Novembre 	63 574
2005 	Octobre 	67 111
2005 	Septembre 	66 424
2005 	Août 	67 070
2005 	Juillet 	66 574
2005 	Juin 	63 627
2005 	Mai 	65 178
2005 	Avril 	62 437
2005 	Mars 	63 902
2005 	Février 	58 823
2005 	Janvier 	63 987
2004 	Décembre 	65 925
2004 	Novembre 	64 929
2004 	Octobre 	66 932
2004 	Septembre 	65 273
2004 	Août 	65 846
2004 	Juillet 	68 793
2004 	Juin 	63 303
2004 	Mai 	61 453
2004 	Avril 	61 116
2004 	Mars 	60 985
2004 	Février 	59 222
2004 	Janvier 	64 039
2003 	Décembre 	64 323
2003 	Novembre 	61 905
2003 	Octobre 	65 109
2003 	Septembre 	63 601
2003 	Août 	64 025
2003 	Juillet 	67 625
2003 	Juin 	62 144
2003 	Mai 	65 699
2003 	Avril 	62 670
2003 	Mars 	62 351
2003 	Février 	58 057
2003 	Janvier 	63 955
2002 	Décembre 	64 189
2002 	Novembre 	61 411
2002 	Octobre 	66 644
2002 	Septembre 	64 203
2002 	Août 	65 735
